CSDUID,CSD,Period,IndicatorSummaryDescription,Sector,UnitOfMeasure,OriginalValue
4808022,Lacombe County,2020,Major Projects,Infrastructure,$,24.00000
4808022,Lacombe County,2021,Major Projects,Infrastructure,$,666.85714
4808022,Lacombe County,2022,Major Projects,Infrastructure,$,666.85714
4808006,Bowden,2013,Major Projects,Infrastructure,$,5.00000
4808008,Innisfail,2007,Major Projects,Infrastructure,$,6.00000
4808008,Innisfail,2008,Major Projects,Infrastructure,$,6.20000
4808008,Innisfail,2013,Major Projects,Infrastructure,$,8.00000
4808009,Penhold,2007,Major Projects,Infrastructure,$,77.77778
4808009,Penhold,2008,Major Projects,Infrastructure,$,77.77778
4808009,Penhold,2009,Major Projects,Infrastructure,$,105.55556
4808009,Penhold,2010,Major Projects,Infrastructure,$,105.55556
4808009,Penhold,2011,Major Projects,Infrastructure,$,105.55556
4808009,Penhold,2015,Major Projects,Infrastructure,$,5.30000
4808029,Blackfalds,2007,Major Projects,Infrastructure,$,85.37778
4808029,Blackfalds,2008,Major Projects,Infrastructure,$,83.27778
4808029,Blackfalds,2009,Major Projects,Infrastructure,$,113.05556
4808029,Blackfalds,2010,Major Projects,Infrastructure,$,110.85556
4808029,Blackfalds,2011,Major Projects,Infrastructure,$,105.55556
4808029,Blackfalds,2015,Major Projects,Infrastructure,$,8.10000
4808029,Blackfalds,2016,Major Projects,Infrastructure,$,6.00000
4808029,Blackfalds,2017,Major Projects,Infrastructure,$,14.20000
4808029,Blackfalds,2021,Major Projects,Infrastructure,$,642.85714
4808029,Blackfalds,2022,Major Projects,Infrastructure,$,642.85714
4807031,Flagstaff County,2009,Major Projects,Infrastructure,$,15.00000
4807031,Flagstaff County,2010,Major Projects,Infrastructure,$,15.50000
4807031,Flagstaff County,2017,Major Projects,Infrastructure,$,2.90000
4807031,Flagstaff County,2020,Major Projects,Infrastructure,$,0.00000
4807031,Flagstaff County,2021,Major Projects,Infrastructure,$,0.00000
4807031,Flagstaff County,2022,Major Projects,Infrastructure,$,0.00000
4807036,Forestburg,2017,Major Projects,Infrastructure,$,2.90000
4807036,Forestburg,2020,Major Projects,Infrastructure,$,0.00000
4807036,Forestburg,2021,Major Projects,Infrastructure,$,0.00000
4807036,Forestburg,2022,Major Projects,Infrastructure,$,0.00000
4811016,Leduc,2010,Major Projects,Infrastructure,$,10.70000
4811016,Leduc,2012,Major Projects,Infrastructure,$,17.70000
4811016,Leduc,2013,Major Projects,Infrastructure,$,17.70000
4811016,Leduc,2014,Major Projects,Infrastructure,$,9.00000
4811016,Leduc,2015,Major Projects,Infrastructure,$,9.00000
4811016,Leduc,2016,Major Projects,Infrastructure,$,9.00000
4811016,Leduc,2017,Major Projects,Infrastructure,$,5.00000
4811016,Leduc,2018,Major Projects,Infrastructure,$,5.00000
4811016,Leduc,2019,Major Projects,Infrastructure,$,42.50000
4811016,Leduc,2020,Major Projects,Infrastructure,$,42.50000
4811016,Leduc,2021,Major Projects,Infrastructure,$,688.35714
4811016,Leduc,2022,Major Projects,Infrastructure,$,754.85714
4810001,Camrose County,2009,Major Projects,Infrastructure,$,15.10000
4810001,Camrose County,2011,Major Projects,Infrastructure,$,25.10000
4810001,Camrose County,2014,Major Projects,Infrastructure,$,5.90000
4810001,Camrose County,2015,Major Projects,Infrastructure,$,5.60000
4810001,Camrose County,2018,Major Projects,Infrastructure,$,6.60000
4811056,Fort Saskatchewan,2007,Major Projects,Infrastructure,$,51.00000
4811056,Fort Saskatchewan,2008,Major Projects,Infrastructure,$,11.10000
4811056,Fort Saskatchewan,2009,Major Projects,Infrastructure,$,34.10000
4811056,Fort Saskatchewan,2010,Major Projects,Infrastructure,$,39.90000
4811056,Fort Saskatchewan,2011,Major Projects,Infrastructure,$,33.30000
4811056,Fort Saskatchewan,2012,Major Projects,Infrastructure,$,30.30000
4811056,Fort Saskatchewan,2013,Major Projects,Infrastructure,$,28.80000
4811056,Fort Saskatchewan,2014,Major Projects,Infrastructure,$,15.50000
4811056,Fort Saskatchewan,2015,Major Projects,Infrastructure,$,66.66667
4811056,Fort Saskatchewan,2016,Major Projects,Infrastructure,$,66.66667
4811056,Fort Saskatchewan,2017,Major Projects,Infrastructure,$,74.86667
4811056,Fort Saskatchewan,2018,Major Projects,Infrastructure,$,66.66667
4811056,Fort Saskatchewan,2019,Major Projects,Infrastructure,$,66.66667
4811056,Fort Saskatchewan,2020,Major Projects,Infrastructure,$,66.66667
4811056,Fort Saskatchewan,2021,Major Projects,Infrastructure,$,36.00000
4811061,Edmonton,2007,Major Projects,Infrastructure,$,2134.27778
4811061,Edmonton,2008,Major Projects,Infrastructure,$,4196.27778
4811061,Edmonton,2009,Major Projects,Infrastructure,$,4600.65556
4811061,Edmonton,2010,Major Projects,Infrastructure,$,3446.60556
4811061,Edmonton,2011,Major Projects,Infrastructure,$,2990.75556
4811061,Edmonton,2012,Major Projects,Infrastructure,$,4356.80000
4811061,Edmonton,2013,Major Projects,Infrastructure,$,6632.13333
4811061,Edmonton,2014,Major Projects,Infrastructure,$,4224.40000
4811061,Edmonton,2015,Major Projects,Infrastructure,$,2137.76667
4811061,Edmonton,2016,Major Projects,Infrastructure,$,5561.36667
4811061,Edmonton,2017,Major Projects,Infrastructure,$,8154.66667
4811061,Edmonton,2018,Major Projects,Infrastructure,$,6590.22500
4811061,Edmonton,2019,Major Projects,Infrastructure,$,7033.06667
4811061,Edmonton,2020,Major Projects,Infrastructure,$,7720.66667
4811061,Edmonton,2021,Major Projects,Infrastructure,$,8859.15714
4811061,Edmonton,2022,Major Projects,Infrastructure,$,8770.15714
4806017,Chestermere,2008,Major Projects,Infrastructure,$,60.00000
4806017,Chestermere,2009,Major Projects,Infrastructure,$,40.00000
4806017,Chestermere,2010,Major Projects,Infrastructure,$,22.80000
4806017,Chestermere,2011,Major Projects,Infrastructure,$,22.80000
4806017,Chestermere,2012,Major Projects,Infrastructure,$,9.00000
4806017,Chestermere,2013,Major Projects,Infrastructure,$,9.00000
4806017,Chestermere,2016,Major Projects,Infrastructure,$,9.00000
4806017,Chestermere,2017,Major Projects,Infrastructure,$,9.00000
4802012,Lethbridge,2007,Major Projects,Infrastructure,$,113.80000
4802012,Lethbridge,2008,Major Projects,Infrastructure,$,171.00000
4802012,Lethbridge,2009,Major Projects,Infrastructure,$,145.80000
4802012,Lethbridge,2010,Major Projects,Infrastructure,$,132.00000
4802012,Lethbridge,2011,Major Projects,Infrastructure,$,95.10000
4802012,Lethbridge,2012,Major Projects,Infrastructure,$,47.80000
4802012,Lethbridge,2013,Major Projects,Infrastructure,$,69.50000
4802012,Lethbridge,2014,Major Projects,Infrastructure,$,60.70000
4802012,Lethbridge,2016,Major Projects,Infrastructure,$,24.00000
4802012,Lethbridge,2017,Major Projects,Infrastructure,$,19.80000
4802012,Lethbridge,2018,Major Projects,Infrastructure,$,33.40000
4802012,Lethbridge,2019,Major Projects,Infrastructure,$,10.90000
4802012,Lethbridge,2020,Major Projects,Infrastructure,$,6.90000
4802012,Lethbridge,2021,Major Projects,Infrastructure,$,0.00000
4802012,Lethbridge,2022,Major Projects,Infrastructure,$,0.00000
4802013,Coalhurst,2012,Major Projects,Infrastructure,$,5.30000
4802039,Bassano,2015,Major Projects,Infrastructure,$,40.00000
4802039,Bassano,2016,Major Projects,Infrastructure,$,40.00000
4803001,Cardston County,2009,Major Projects,Infrastructure,$,2.50000
4803001,Cardston County,2020,Major Projects,Infrastructure,$,13.80000
4803001,Cardston County,2022,Major Projects,Infrastructure,$,0.00000
4803002,Magrath,2016,Major Projects,Infrastructure,$,7.80000
4803003,Improvement District No.  4 Waterton,2017,Major Projects,Infrastructure,$,5.00000
4803003,Improvement District No.  4 Waterton,2018,Major Projects,Infrastructure,$,5.00000
4803003,Improvement District No.  4 Waterton,2019,Major Projects,Infrastructure,$,5.00000
4803003,Improvement District No.  4 Waterton,2020,Major Projects,Infrastructure,$,7.70000
4809015,Rocky Mountain House,2007,Major Projects,Infrastructure,$,8.50000
4809015,Rocky Mountain House,2008,Major Projects,Infrastructure,$,8.50000
4809015,Rocky Mountain House,2009,Major Projects,Infrastructure,$,8.60000
4809015,Rocky Mountain House,2012,Major Projects,Infrastructure,$,6.10000
4809015,Rocky Mountain House,2013,Major Projects,Infrastructure,$,6.10000
4809015,Rocky Mountain House,2014,Major Projects,Infrastructure,$,16.30000
4809015,Rocky Mountain House,2015,Major Projects,Infrastructure,$,16.30000
4809015,Rocky Mountain House,2020,Major Projects,Infrastructure,$,51.20000
4809015,Rocky Mountain House,2021,Major Projects,Infrastructure,$,51.20000
4809015,Rocky Mountain House,2022,Major Projects,Infrastructure,$,51.20000
4802031,Newell County,2007,Major Projects,Infrastructure,$,45.50000
4802031,Newell County,2008,Major Projects,Infrastructure,$,45.50000
4802031,Newell County,2009,Major Projects,Infrastructure,$,60.50000
4802031,Newell County,2010,Major Projects,Infrastructure,$,44.50000
4802031,Newell County,2011,Major Projects,Infrastructure,$,13.00000
4802031,Newell County,2014,Major Projects,Infrastructure,$,45.50000
4802031,Newell County,2015,Major Projects,Infrastructure,$,6.50000
4802031,Newell County,2017,Major Projects,Infrastructure,$,40.00000
4802031,Newell County,2018,Major Projects,Infrastructure,$,28.30000
4802031,Newell County,2020,Major Projects,Infrastructure,$,177.00000
4802031,Newell County,2021,Major Projects,Infrastructure,$,170.00000
4802031,Newell County,2022,Major Projects,Infrastructure,$,170.00000
4802034,Brooks,2009,Major Projects,Infrastructure,$,8.90000
4808038,Ponoka County,2007,Major Projects,Infrastructure,$,87.77778
4808038,Ponoka County,2008,Major Projects,Infrastructure,$,77.77778
4808038,Ponoka County,2009,Major Projects,Infrastructure,$,105.55556
4808038,Ponoka County,2010,Major Projects,Infrastructure,$,105.55556
4808038,Ponoka County,2011,Major Projects,Infrastructure,$,105.55556
4808038,Ponoka County,2014,Major Projects,Infrastructure,$,8.00000
4808038,Ponoka County,2015,Major Projects,Infrastructure,$,14.00000
4808038,Ponoka County,2021,Major Projects,Infrastructure,$,642.85714
4808038,Ponoka County,2022,Major Projects,Infrastructure,$,642.85714
4812037,Lac la Biche County,2009,Major Projects,Infrastructure,$,5.00000
4812037,Lac la Biche County,2010,Major Projects,Infrastructure,$,27.00000
4812037,Lac la Biche County,2012,Major Projects,Infrastructure,$,23.10000
4812037,Lac la Biche County,2013,Major Projects,Infrastructure,$,72.80000
4812037,Lac la Biche County,2017,Major Projects,Infrastructure,$,12.50000
4812037,Lac la Biche County,2020,Major Projects,Infrastructure,$,16.66667
4812037,Lac la Biche County,2021,Major Projects,Infrastructure,$,42.03333
4812037,Lac la Biche County,2022,Major Projects,Infrastructure,$,42.03333
4808039,Ponoka,2015,Major Projects,Infrastructure,$,5.30000
4808039,Ponoka,2016,Major Projects,Infrastructure,$,5.30000
4808039,Ponoka,2017,Major Projects,Infrastructure,$,5.30000
4809002,Clearwater County,2008,Major Projects,Infrastructure,$,11.00000
4809002,Clearwater County,2009,Major Projects,Infrastructure,$,27.00000
4809002,Clearwater County,2010,Major Projects,Infrastructure,$,15.50000
4809002,Clearwater County,2011,Major Projects,Infrastructure,$,6.10000
4809002,Clearwater County,2014,Major Projects,Infrastructure,$,14.50000
4809002,Clearwater County,2015,Major Projects,Infrastructure,$,2.90000
4809002,Clearwater County,2020,Major Projects,Infrastructure,$,24.00000
4809002,Clearwater County,2021,Major Projects,Infrastructure,$,24.00000
4809002,Clearwater County,2022,Major Projects,Infrastructure,$,24.00000
4810026,Minburn County No. 27,2007,Major Projects,Infrastructure,$,12.00000
4810026,Minburn County No. 27,2010,Major Projects,Infrastructure,$,14.40000
4810026,Minburn County No. 27,2015,Major Projects,Infrastructure,$,2.80000
4810028,Vegreville,2015,Major Projects,Infrastructure,$,2.80000
4810028,Vegreville,2020,Major Projects,Infrastructure,$,9.90000
4810028,Vegreville,2021,Major Projects,Infrastructure,$,9.90000
4813031,Westlock,2009,Major Projects,Infrastructure,$,5.30000
4813031,Westlock,2020,Major Projects,Infrastructure,$,6.40000
4813031,Westlock,2021,Major Projects,Infrastructure,$,6.40000
4813031,Westlock,2022,Major Projects,Infrastructure,$,6.40000
4813011,Sunset Point,2016,Major Projects,Infrastructure,$,3.16667
4813011,Sunset Point,2017,Major Projects,Infrastructure,$,3.16667
4813012,Alberta Beach,2016,Major Projects,Infrastructure,$,3.16667
4813012,Alberta Beach,2017,Major Projects,Infrastructure,$,3.16667
4813014,Onoway,2016,Major Projects,Infrastructure,$,3.16667
4813014,Onoway,2017,Major Projects,Infrastructure,$,3.16667
4813030,Whitecourt,2010,Major Projects,Infrastructure,$,7.00000
4806019,Cochrane,2007,Major Projects,Infrastructure,$,35.60000
4806019,Cochrane,2008,Major Projects,Infrastructure,$,12.20000
4806019,Cochrane,2009,Major Projects,Infrastructure,$,9.00000
4806019,Cochrane,2010,Major Projects,Infrastructure,$,9.00000
4806019,Cochrane,2011,Major Projects,Infrastructure,$,9.00000
4806019,Cochrane,2012,Major Projects,Infrastructure,$,53.50000
4806019,Cochrane,2013,Major Projects,Infrastructure,$,53.50000
4806019,Cochrane,2014,Major Projects,Infrastructure,$,53.50000
4806019,Cochrane,2015,Major Projects,Infrastructure,$,53.50000
4806019,Cochrane,2016,Major Projects,Infrastructure,$,53.50000
4806019,Cochrane,2017,Major Projects,Infrastructure,$,109.80000
4806019,Cochrane,2018,Major Projects,Infrastructure,$,103.50000
4806019,Cochrane,2019,Major Projects,Infrastructure,$,134.50000
4806019,Cochrane,2020,Major Projects,Infrastructure,$,85.50000
4806019,Cochrane,2021,Major Projects,Infrastructure,$,93.80000
4806019,Cochrane,2022,Major Projects,Infrastructure,$,95.00000
4806021,Airdrie,2007,Major Projects,Infrastructure,$,104.67778
4806021,Airdrie,2008,Major Projects,Infrastructure,$,142.97778
4806021,Airdrie,2009,Major Projects,Infrastructure,$,196.55556
4806021,Airdrie,2010,Major Projects,Infrastructure,$,149.45556
4806021,Airdrie,2011,Major Projects,Infrastructure,$,135.25556
4806021,Airdrie,2013,Major Projects,Infrastructure,$,6.80000
4806021,Airdrie,2014,Major Projects,Infrastructure,$,19.20000
4806021,Airdrie,2015,Major Projects,Infrastructure,$,42.50000
4806021,Airdrie,2016,Major Projects,Infrastructure,$,17.50000
4806021,Airdrie,2017,Major Projects,Infrastructure,$,17.85000
4806021,Airdrie,2020,Major Projects,Infrastructure,$,83.00000
4806021,Airdrie,2021,Major Projects,Infrastructure,$,725.95714
4806021,Airdrie,2022,Major Projects,Infrastructure,$,725.95714
4806026,Crossfield,2011,Major Projects,Infrastructure,$,6.30000
4806026,Crossfield,2017,Major Projects,Infrastructure,$,8.50000
4806026,Crossfield,2018,Major Projects,Infrastructure,$,8.50000
4813028,Westlock County,2012,Major Projects,Infrastructure,$,8.00000
4813028,Westlock County,2013,Major Projects,Infrastructure,$,8.00000
4813028,Westlock County,2018,Major Projects,Infrastructure,$,5.00000
4813028,Westlock County,2021,Major Projects,Infrastructure,$,0.00000
4813028,Westlock County,2022,Major Projects,Infrastructure,$,0.00000
4813029,Woodlands County,2008,Major Projects,Infrastructure,$,9.85000
4813029,Woodlands County,2020,Major Projects,Infrastructure,$,0.00000
4813029,Woodlands County,2021,Major Projects,Infrastructure,$,0.00000
4813029,Woodlands County,2022,Major Projects,Infrastructure,$,0.00000
4810018,Tofield,2018,Major Projects,Infrastructure,$,53.33333
4813018,Barrhead County No. 11,2007,Major Projects,Infrastructure,$,77.77778
4813018,Barrhead County No. 11,2008,Major Projects,Infrastructure,$,77.77778
4813018,Barrhead County No. 11,2009,Major Projects,Infrastructure,$,114.55556
4813018,Barrhead County No. 11,2010,Major Projects,Infrastructure,$,105.55556
4813018,Barrhead County No. 11,2011,Major Projects,Infrastructure,$,112.35556
4813018,Barrhead County No. 11,2012,Major Projects,Infrastructure,$,7.00000
4813018,Barrhead County No. 11,2013,Major Projects,Infrastructure,$,7.00000
4813018,Barrhead County No. 11,2018,Major Projects,Infrastructure,$,5.00000
4813018,Barrhead County No. 11,2020,Major Projects,Infrastructure,$,0.00000
4813018,Barrhead County No. 11,2021,Major Projects,Infrastructure,$,0.00000
4813018,Barrhead County No. 11,2022,Major Projects,Infrastructure,$,0.00000
4810016,Beaver County,2007,Major Projects,Infrastructure,$,5.10000
4810016,Beaver County,2011,Major Projects,Infrastructure,$,8.50000
4810016,Beaver County,2018,Major Projects,Infrastructure,$,56.50000
4813019,Barrhead,2010,Major Projects,Infrastructure,$,13.00000
4813019,Barrhead,2011,Major Projects,Infrastructure,$,12.00000
4813019,Barrhead,2012,Major Projects,Infrastructure,$,13.00000
4801006,Medicine Hat,2007,Major Projects,Infrastructure,$,16.40000
4801006,Medicine Hat,2008,Major Projects,Infrastructure,$,21.60000
4801006,Medicine Hat,2009,Major Projects,Infrastructure,$,30.00000
4801006,Medicine Hat,2010,Major Projects,Infrastructure,$,43.50000
4801006,Medicine Hat,2011,Major Projects,Infrastructure,$,74.80000
4801006,Medicine Hat,2012,Major Projects,Infrastructure,$,89.70000
4801006,Medicine Hat,2013,Major Projects,Infrastructure,$,105.40000
4801006,Medicine Hat,2014,Major Projects,Infrastructure,$,54.20000
4801006,Medicine Hat,2015,Major Projects,Infrastructure,$,82.20000
4801006,Medicine Hat,2016,Major Projects,Infrastructure,$,80.60000
4801006,Medicine Hat,2017,Major Projects,Infrastructure,$,72.50000
4801006,Medicine Hat,2018,Major Projects,Infrastructure,$,64.20000
4801006,Medicine Hat,2019,Major Projects,Infrastructure,$,25.70000
4801006,Medicine Hat,2021,Major Projects,Infrastructure,$,0.00000
4801006,Medicine Hat,2022,Major Projects,Infrastructure,$,6.70000
4801008,Forty Mile County No. 8,2020,Major Projects,Infrastructure,$,51.00000
4801008,Forty Mile County No. 8,2021,Major Projects,Infrastructure,$,50.00000
4801008,Forty Mile County No. 8,2022,Major Projects,Infrastructure,$,50.00000
4801003,Cypress County,2007,Major Projects,Infrastructure,$,5.00000
4801003,Cypress County,2008,Major Projects,Infrastructure,$,11.00000
4801003,Cypress County,2010,Major Projects,Infrastructure,$,12.00000
4801003,Cypress County,2011,Major Projects,Infrastructure,$,37.50000
4801003,Cypress County,2014,Major Projects,Infrastructure,$,10.80000
4801003,Cypress County,2015,Major Projects,Infrastructure,$,17.20000
4808031,Lacombe,2011,Major Projects,Infrastructure,$,19.30000
4808031,Lacombe,2014,Major Projects,Infrastructure,$,7.00000
4808031,Lacombe,2016,Major Projects,Infrastructure,$,6.00000
4808031,Lacombe,2017,Major Projects,Infrastructure,$,14.20000
4808031,Lacombe,2021,Major Projects,Infrastructure,$,642.85714
4808031,Lacombe,2022,Major Projects,Infrastructure,$,642.85714
4803018,Willow Creek No. 26,2007,Major Projects,Infrastructure,$,8.00000
4803018,Willow Creek No. 26,2008,Major Projects,Infrastructure,$,29.30000
4803018,Willow Creek No. 26,2009,Major Projects,Infrastructure,$,19.50000
4803019,Fort Macleod,2009,Major Projects,Infrastructure,$,9.70000
4802008,Raymond,2007,Major Projects,Infrastructure,$,9.00000
4802008,Raymond,2008,Major Projects,Infrastructure,$,9.30000
4802008,Raymond,2009,Major Projects,Infrastructure,$,9.30000
4802011,Lethbridge County,2007,Major Projects,Infrastructure,$,77.77778
4802011,Lethbridge County,2008,Major Projects,Infrastructure,$,80.32778
4802011,Lethbridge County,2009,Major Projects,Infrastructure,$,105.55556
4802011,Lethbridge County,2010,Major Projects,Infrastructure,$,105.55556
4802011,Lethbridge County,2011,Major Projects,Infrastructure,$,111.55556
4802011,Lethbridge County,2012,Major Projects,Infrastructure,$,6.00000
4802011,Lethbridge County,2013,Major Projects,Infrastructure,$,6.00000
4802011,Lethbridge County,2015,Major Projects,Infrastructure,$,7.60000
4802011,Lethbridge County,2019,Major Projects,Infrastructure,$,5.00000
4802011,Lethbridge County,2020,Major Projects,Infrastructure,$,12.50000
4802011,Lethbridge County,2021,Major Projects,Infrastructure,$,218.30000
4802011,Lethbridge County,2022,Major Projects,Infrastructure,$,198.00000
4802021,"Taber, M.D.",2007,Major Projects,Infrastructure,$,230.00000
4802021,"Taber, M.D.",2008,Major Projects,Infrastructure,$,227.55000
4802021,"Taber, M.D.",2009,Major Projects,Infrastructure,$,29.00000
4802021,"Taber, M.D.",2010,Major Projects,Infrastructure,$,28.30000
4802021,"Taber, M.D.",2011,Major Projects,Infrastructure,$,25.30000
4802021,"Taber, M.D.",2020,Major Projects,Infrastructure,$,58.40000
4802021,"Taber, M.D.",2021,Major Projects,Infrastructure,$,129.60000
4802021,"Taber, M.D.",2022,Major Projects,Infrastructure,$,142.50000
4802022,Taber,2007,Major Projects,Infrastructure,$,14.40000
4802022,Taber,2008,Major Projects,Infrastructure,$,14.40000
4802022,Taber,2012,Major Projects,Infrastructure,$,5.30000
4802022,Taber,2020,Major Projects,Infrastructure,$,51.00000
4802022,Taber,2021,Major Projects,Infrastructure,$,50.00000
4802022,Taber,2022,Major Projects,Infrastructure,$,50.00000
4803011,Pincher Creek No. 9,2015,Major Projects,Infrastructure,$,12.00000
4803011,Pincher Creek No. 9,2016,Major Projects,Infrastructure,$,22.00000
4803011,Pincher Creek No. 9,2017,Major Projects,Infrastructure,$,15.00000
4803011,Pincher Creek No. 9,2018,Major Projects,Infrastructure,$,15.00000
4803011,Pincher Creek No. 9,2019,Major Projects,Infrastructure,$,15.00000
4803011,Pincher Creek No. 9,2020,Major Projects,Infrastructure,$,15.00000
4803011,Pincher Creek No. 9,2021,Major Projects,Infrastructure,$,0.00000
4803011,Pincher Creek No. 9,2022,Major Projects,Infrastructure,$,0.00000
4803014,Pincher Creek,2008,Major Projects,Infrastructure,$,11.40000
4803004,Cardston,2014,Major Projects,Infrastructure,$,26.00000
4803004,Cardston,2015,Major Projects,Infrastructure,$,26.00000
4803004,Cardston,2016,Major Projects,Infrastructure,$,15.00000
4803022,Claresholm,2008,Major Projects,Infrastructure,$,8.00000
4803026,Nanton,2012,Major Projects,Infrastructure,$,13.00000
4803026,Nanton,2013,Major Projects,Infrastructure,$,13.90000
4803026,Nanton,2014,Major Projects,Infrastructure,$,18.90000
4803026,Nanton,2015,Major Projects,Infrastructure,$,8.50000
4803026,Nanton,2016,Major Projects,Infrastructure,$,11.80000
4803802,Blood 148,2015,Major Projects,Infrastructure,$,8.50000
4804004,Special Area No. 2,2013,Major Projects,Infrastructure,$,6.50000
4804012,Special Area No. 3,2011,Major Projects,Infrastructure,$,6.20000
4804020,Special Area No. 4,2007,Major Projects,Infrastructure,$,15.00000
4805001,Vulcan County,2007,Major Projects,Infrastructure,$,50.00000
4805001,Vulcan County,2008,Major Projects,Infrastructure,$,71.20000
4805001,Vulcan County,2009,Major Projects,Infrastructure,$,10.10000
4805001,Vulcan County,2010,Major Projects,Infrastructure,$,25.50000
4805001,Vulcan County,2011,Major Projects,Infrastructure,$,29.30000
4805001,Vulcan County,2013,Major Projects,Infrastructure,$,15.00000
4805001,Vulcan County,2014,Major Projects,Infrastructure,$,105.40000
4805001,Vulcan County,2015,Major Projects,Infrastructure,$,40.50000
4805001,Vulcan County,2016,Major Projects,Infrastructure,$,40.50000
4805001,Vulcan County,2018,Major Projects,Infrastructure,$,4.25000
4805002,Carmangay,2007,Major Projects,Infrastructure,$,77.77778
4805002,Carmangay,2008,Major Projects,Infrastructure,$,77.77778
4805002,Carmangay,2009,Major Projects,Infrastructure,$,105.55556
4805002,Carmangay,2010,Major Projects,Infrastructure,$,105.55556
4805002,Carmangay,2011,Major Projects,Infrastructure,$,105.55556
4805006,Vulcan,2008,Major Projects,Infrastructure,$,9.00000
4805006,Vulcan,2009,Major Projects,Infrastructure,$,15.60000
4805006,Vulcan,2018,Major Projects,Infrastructure,$,4.25000
4805008,Lomond,2014,Major Projects,Infrastructure,$,33.00000
4805008,Lomond,2015,Major Projects,Infrastructure,$,33.00000
4805008,Lomond,2016,Major Projects,Infrastructure,$,33.00000
4806034,Olds,2011,Major Projects,Infrastructure,$,6.00000
4806034,Olds,2012,Major Projects,Infrastructure,$,6.00000
4806036,Sundre,2008,Major Projects,Infrastructure,$,8.00000
4806036,Sundre,2009,Major Projects,Infrastructure,$,8.00000
4806036,Sundre,2021,Major Projects,Infrastructure,$,11.50000
4806036,Sundre,2022,Major Projects,Infrastructure,$,11.50000
4805048,Three Hills,2007,Major Projects,Infrastructure,$,6.50000
4805048,Three Hills,2017,Major Projects,Infrastructure,$,14.80000
4805048,Three Hills,2018,Major Projects,Infrastructure,$,14.80000
4805048,Three Hills,2019,Major Projects,Infrastructure,$,14.80000
4805048,Three Hills,2020,Major Projects,Infrastructure,$,14.80000
4806001,Foothills No. 31,2007,Major Projects,Infrastructure,$,476.87778
4806001,Foothills No. 31,2008,Major Projects,Infrastructure,$,87.87778
4806001,Foothills No. 31,2009,Major Projects,Infrastructure,$,124.65556
4806001,Foothills No. 31,2010,Major Projects,Infrastructure,$,120.05556
4806001,Foothills No. 31,2011,Major Projects,Infrastructure,$,145.85556
4806001,Foothills No. 31,2016,Major Projects,Infrastructure,$,3.35000
4806001,Foothills No. 31,2018,Major Projects,Infrastructure,$,10.45000
4806001,Foothills No. 31,2019,Major Projects,Infrastructure,$,10.45000
4806001,Foothills No. 31,2020,Major Projects,Infrastructure,$,17.10000
4806001,Foothills No. 31,2021,Major Projects,Infrastructure,$,17.10000
4806001,Foothills No. 31,2022,Major Projects,Infrastructure,$,17.10000
4806006,High River,2007,Major Projects,Infrastructure,$,28.60000
4806006,High River,2008,Major Projects,Infrastructure,$,5.50000
4806006,High River,2009,Major Projects,Infrastructure,$,14.50000
4806006,High River,2010,Major Projects,Infrastructure,$,8.70000
4806006,High River,2015,Major Projects,Infrastructure,$,30.60000
4806006,High River,2016,Major Projects,Infrastructure,$,20.90000
4806006,High River,2017,Major Projects,Infrastructure,$,20.90000
4806006,High River,2018,Major Projects,Infrastructure,$,10.45000
4806006,High River,2019,Major Projects,Infrastructure,$,10.45000
4806804,Tsuu T'ina Nation 145 (Sarcee 145),2016,Major Projects,Infrastructure,$,1103.35000
4806804,Tsuu T'ina Nation 145 (Sarcee 145),2017,Major Projects,Infrastructure,$,1100.00000
4806804,Tsuu T'ina Nation 145 (Sarcee 145),2018,Major Projects,Infrastructure,$,1100.00000
4806804,Tsuu T'ina Nation 145 (Sarcee 145),2019,Major Projects,Infrastructure,$,1100.00000
4806804,Tsuu T'ina Nation 145 (Sarcee 145),2020,Major Projects,Infrastructure,$,1118.00000
4806804,Tsuu T'ina Nation 145 (Sarcee 145),2021,Major Projects,Infrastructure,$,1095.00000
4806804,Tsuu T'ina Nation 145 (Sarcee 145),2022,Major Projects,Infrastructure,$,18.00000
4806011,Black Diamond,2020,Major Projects,Infrastructure,$,17.30000
4806011,Black Diamond,2021,Major Projects,Infrastructure,$,17.30000
4806011,Black Diamond,2022,Major Projects,Infrastructure,$,17.30000
4806012,Okotoks,2008,Major Projects,Infrastructure,$,48.60000
4806012,Okotoks,2009,Major Projects,Infrastructure,$,42.90000
4806012,Okotoks,2010,Major Projects,Infrastructure,$,11.00000
4806012,Okotoks,2011,Major Projects,Infrastructure,$,11.00000
4806012,Okotoks,2014,Major Projects,Infrastructure,$,17.00000
4806012,Okotoks,2020,Major Projects,Infrastructure,$,17.10000
4806012,Okotoks,2021,Major Projects,Infrastructure,$,17.10000
4806012,Okotoks,2022,Major Projects,Infrastructure,$,17.10000
4806014,Rocky View County,2007,Major Projects,Infrastructure,$,166.00000
4806014,Rocky View County,2008,Major Projects,Infrastructure,$,152.10000
4806014,Rocky View County,2009,Major Projects,Infrastructure,$,174.00000
4806014,Rocky View County,2010,Major Projects,Infrastructure,$,201.80000
4806014,Rocky View County,2011,Major Projects,Infrastructure,$,200.00000
4806014,Rocky View County,2012,Major Projects,Infrastructure,$,8.70000
